08401	LOS ANGELES	204
08402	SANTA BARBARA	205
08403	LAJA	210
08404	QUILLECO	206
08405	NACIMIENTO	212
08406	NEGRETE	213
08407	MULCHEN	214
08408	QUILACO	215
08409	YUMBEL	207
08410	CABRERO	208
08411	SAN ROSENDO	211
08412	TUCAPEL	209
08413	ANTUCO	303
08414	ALTO BIOBIO	349
09101	ANGOL	216
09102	PUREN	217
09103	LOS SAUCES	218
09104	RENAICO	219
09105	COLLIPULLI	220
09106	ERCILLA	221
09107	TRAIGUEN	222
09108	LUMACO	223
09109	VICTORIA	224
09110	CURACAUTIN	225
09111	LONQUIMAY	226
09201	TEMUCO	227
09202	VILCUN	228
09203	FREIRE	229
09204	CUNCO	230
09205	LAUTARO	231
09206	PERQUENCO	233
09207	GALVARINO	232
09208	NUEVA IMPERIAL	234
09209	CARAHUE	235
09210	SAAVEDRA	236
09211	PITRUFQUEN	237
09212	GORBEA	238
09213	TOLTEN	239
09214	LONCOCHE	240
09215	VILLARRICA	241
09216	PUCON	242
09217	MELIPEUCO	304
09218	CURARREHUE	305
09219	TEODORO SCHMIDT	306
09220	PADRE LAS CASAS	345
09221	CHOLCHOL	348
10101	VALDIVIA	243
10102	MARIQUINA	245
10103	LANCO	249
10104	LOS LAGOS	247
10105	FUTRONO	248
10106	CORRAL	244
10107	MAFIL	246
10108	PANGUIPULLI	250
10109	LA UNION	251
10110	PAILLACO	252
10111	RIO BUENO	253
10112	LAGO RANCO	254
10201	OSORNO	255
10202	SAN PABLO	257
10203	PUERTO OCTAY	258
10204	PUYEHUE	256
10205	RIO NEGRO	259
10206	PURRANQUE	260
10207	SAN JUAN DE LA COSTA	307
10301	PUERTO MONTT	261
10302	COCHAMO	262
10303	PUERTO VARAS	266
10304	FRESIA	268
10305	FRUTILLAR	269
10306	LLANQUIHUE	267
10307	MAULLIN	263
10308	LOS MUERMOS	264
10309	CALBUCO	265
10401	CASTRO	270
10402	CHONCHI	271
10403	QUEILEN	272
10404	QUELLON	273
10405	PUQUELDON	274
10406	ANCUD	277
10407	QUEMCHI	278
10408	DALCAHUE	279
10410	CURACO DE VELEZ	276
10415	QUINCHAO	275
10501	CHAITEN	280
10502	HUALAIHUE	308
10503	FUTALEUFU	281
10504	PALENA	282
11101	AYSEN	285
11102	CISNES	286
11104	GUAITECAS	309
11201	CHILE CHICO	287
11203	RIO IBANEZ	288
11301	COCHRANE	289
11302	OHIGGINS	310
11303	TORTEL	311
11401	COYHAIQUE	284
11402	LAGO VERDE	312
12101	NATALES	291
12103	TORRES DEL PAINE	313
12202	RIO VERDE	314
12204	SAN GREGORIO	315
12205	PUNTA ARENAS	290
12206	LAGUNA BLANCA	316
12301	PORVENIR	292
12302	PRIMAVERA	317
12304	TIMAUKEL	318
12401	CABO DE HORNOS	319
13101	SANTIAGO	070
13134	SANTIAGO OESTE	073
13135	SANTIAGO SUR	084
13159	RECOLETA	329
13167	INDEPENDENCIA	330
14107	QUINTA NORMAL	081
14109	MAIPU	094
14111	PUDAHUEL	082
14113	RENCA	077
14114	QUILICURA	079
14127	CONCHALI	075
14155	LO PRADO	325
14156	CERRO NAVIA	324
14157	ESTACION CENTRAL	328
14158	HUECHURABA	334
14166	CERRILLOS	333
14201	COLINA	076
14202	LAMPA	078
14203	TIL-TIL	080
14501	TALAGANTE	086
14502	ISLA DE MAIPO	087
14503	EL MONTE	089
14504	PENAFLOR	085
14505	PADRE HURTADO	339
14601	MELIPILLA	088
14602	MARIA PINTO	090
14603	CURACAVI	083
14604	SAN PEDRO	108
14605	ALHUE	109
15103	PROVIDENCIA	072
15105	NUNOA	091
15108	LAS CONDES	071
15128	LA FLORIDA	093
15132	LA REINA	092
15151	MACUL	323
15152	PENALOLEN	322
15160	VITACURA	331
15161	LO BARNECHEA	332
16106	SAN MIGUEL	095
16110	LA CISTERNA	096
16131	LA GRANJA	097
16153	SAN RAMON	326
16154	LA PINTANA	327
16162	PEDRO AGUIRRE CERDA	336
16163	SAN JOAQUIN	335
16164	LO ESPEJO	337
16165	EL BOSQUE	338
16301	PUENTE ALTO	100
16302	PIRQUE	101
16303	SAN JOSE DE MAIPO	102
16401	SAN BERNARDO	098
16402	CALERA DE TANGO	099
16403	BUIN	103
16404	PAINE	104
